x;y;room;type;z
0.0203051567;-1.59050381;floor_2;Init;0.2003293
0.442295969;-1.56829739;floor;Start;0.239174247
0.5319937;-1.56916976;floor;Durchgangstür;0.234915078
0.575641751;-1.588107;default;Raumecke;0.229825854
0.565100431;-1.568116;default;Raumecke;0.146224618
0.50106144;-1.57236874;room_3;Durchgangstür;0.1473329
0.398445666;-1.573615;room_3;Start;0.142201722
0.16860117;-1.56227982;room_4;Durchgangstür;0.12739116
0.08360261;-1.56165814;room_4;Start;0.127581477
0.02396217;-1.57135141;default;Raumecke;0.128551185
0.0249519944;-1.58511722;default;Raumecke;0.206789255